wlr_server_decoration_manager, destroy, wlr_server_decoration_manager
wlr_server_decoration_manager, new_decoration, wlr_server_decoration
wlr_session, active, nullptr_t
wlr_session, add_drm_card, wlr_session_add_event
wlr_session, destroy, wlr_session
wlr_session_lock_manager_v1, destroy, nullptr_t
wlr_session_lock_manager_v1, new_lock, wlr_session_lock_v1
wlr_session_lock_surface_v1, destroy, nullptr_t
wlr_session_lock_v1, destroy, nullptr_t
wlr_session_lock_v1, new_surface, wlr_session_lock_surface_v1
wlr_session_lock_v1, unlock, nullptr_t
wlr_subcompositor, destroy, nullptr_t
wlr_subsurface, destroy, wlr_subsurface
wlr_surface, client_commit, nullptr_t
wlr_surface, commit, wlr_surface
wlr_surface, destroy, wlr_surface
wlr_surface, map, nullptr_t
wlr_surface, new_subsurface, wlr_subsurface
wlr_surface, unmap, nullptr_t
wlr_switch, toggle, wlr_switch_toggle_event
wlr_tablet, axis, wlr_tablet_tool_axis_event
wlr_tablet, button, wlr_tablet_tool_button_event
wlr_tablet, proximity, wlr_tablet_tool_proximity_event
wlr_tablet, tip, wlr_tablet_tool_tip_event
wlr_tablet_manager_v2, destroy, wlr_tablet_manager_v2
wlr_tablet_pad, attach_tablet, wlr_tablet_tool
wlr_tablet_pad, button, wlr_tablet_pad_button_event
wlr_tablet_pad, ring, wlr_tablet_pad_ring_event
wlr_tablet_pad, strip, wlr_tablet_pad_strip_event
wlr_tablet_tool, destroy, wlr_tablet_tool
wlr_tablet_v2_tablet_pad, button_feedback, wlr_tablet_v2_event_feedback
wlr_tablet_v2_tablet_pad, ring_feedback, wlr_tablet_v2_event_feedback
wlr_tablet_v2_tablet_pad, strip_feedback, wlr_tablet_v2_event_feedback
wlr_tablet_v2_tablet_tool, set_cursor, wlr_tablet_v2_event_cursor
wlr_tearing_control_manager_v1, destroy, nullptr_t
wlr_tearing_control_manager_v1, new_object, wlr_tearing_control_v1
wlr_tearing_control_v1, destroy, nullptr_t
wlr_tearing_control_v1, set_hint, nullptr_t
wlr_text_input_manager_v3, destroy, wlr_text_input_manager_v3
wlr_text_input_manager_v3, text_input, wlr_text_input_v3
wlr_text_input_v3, commit, wlr_text_input_v3
wlr_text_input_v3, destroy, wlr_text_input_v3
wlr_text_input_v3, disable, wlr_text_input_v3
wlr_text_input_v3, enable, wlr_text_input_v3
wlr_touch, cancel, wlr_touch_cancel_event
wlr_touch, down, wlr_touch_down_event
wlr_touch, frame, nullptr_t
wlr_touch, motion, wlr_touch_motion_event
wlr_touch, up, wlr_touch_up_event
wlr_touch_point, destroy, wlr_touch_point
wlr_transient_seat_manager_v1, create_seat, wlr_transient_seat_v1
wlr_transient_seat_manager_v1, destroy, nullptr_t
wlr_viewporter, destroy, nullptr_t
wlr_virtual_keyboard_manager_v1, destroy, wlr_virtual_keyboard_manager_v1
wlr_virtual_keyboard_manager_v1, new_virtual_keyboard, wlr_virtual_keyboard_v1
wlr_virtual_pointer_manager_v1, destroy, wlr_virtual_pointer_manager_v1
wlr_virtual_pointer_manager_v1, new_virtual_pointer, wlr_virtual_pointer_v1_new_pointer_event
wlr_xdg_activation_token_v1, destroy, nullptr_t
wlr_xdg_activation_v1, destroy, nullptr_t
